Id,Name,Description,Price,Category,ImageUrl,Brand,Rating,Stock
81,"Lenovo Yoga 920","The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",1099.99,"laptops","https://cdn.dummyjson.com/products/images/laptops/Lenovo%20Yoga%20920/thumbnail.png","Lenovo",2.98,71
82,"New DELL XPS 13 9300 Laptop","The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",1499.99,"laptops","https://cdn.dummyjson.com/products/images/laptops/New%20DELL%20XPS%2013%209300%20Laptop/thumbnail.png","Dell",2.98,18
83,"Blue & Black Check Shirt","The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",29.99,"mens-shirts","https://cdn.dummyjson.com/products/images/mens-shirts/Blue%20&%20Black%20Check%20Shirt/thumbnail.png","Fashion Trends",4.19,44
84,"Gigabyte Aorus Men Tshirt","The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",24.99,"mens-shirts","https://cdn.dummyjson.com/products/images/mens-shirts/Gigabyte%20Aorus%20Men%20Tshirt/thumbnail.png","Gigabyte",4.95,64
85,"Man Plaid Shirt","The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.",34.99,"mens-shirts","https://cdn.dummyjson.com/products/images/mens-shirts/Man%20Plaid%20Shirt/thumbnail.png","Classic Wear",3.66,65
86,"Man Short Sleeve Shirt","The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",19.99,"mens-shirts","https://cdn.dummyjson.com/products/images/mens-shirts/Man%20Short%20Sleeve%20Shirt/thumbnail.png","Casual Comfort",4.62,20
87,"Men Check Shirt","The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",27.99,"mens-shirts","https://cdn.dummyjson.com/products/images/mens-shirts/Men%20Check%20Shirt/thumbnail.png","Urban Chic",2.9,69
88,"Nike Air Jordan 1 Red And Black","The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",149.99,"mens-shoes","https://cdn.dummyjson.com/products/images/mens-shoes/Nike%20Air%20Jordan%201%20Red%20And%20Black/thumbnail.png","Nike",2.77,15
89,"Nike Baseball Cleats","Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.",79.99,"mens-shoes","https://cdn.dummyjson.com/products/images/mens-shoes/Nike%20Baseball%20Cleats/thumbnail.png","Nike",4.01,14
90,"Puma Future Rider Trainers","The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",89.99,"mens-shoes","https://cdn.dummyjson.com/products/images/mens-shoes/Puma%20Future%20Rider%20Trainers/thumbnail.png","Puma",4.85,10
91,"Sports Sneakers Off White & Red","The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",119.99,"mens-shoes","https://cdn.dummyjson.com/products/images/mens-shoes/Sports%20Sneakers%20Off%20White%20&%20Red/thumbnail.png","Off White",4.92,73
92,"Sports Sneakers Off White Red","Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",109.99,"mens-shoes","https://cdn.dummyjson.com/products/images/mens-shoes/Sports%20Sneakers%20Off%20White%20Red/thumbnail.png","Off White",2.95,75
93,"Brown Leather Belt Watch","The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",89.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Brown%20Leather%20Belt%20Watch/thumbnail.png","Fashion Timepieces",4.47,69
94,"Longines Master Collection","The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",1499.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Longines%20Master%20Collection/thumbnail.png","Longines",2.64,65
95,"Rolex Cellini Date Black Dial","The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",8999.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Cellini%20Date%20Black%20Dial/thumbnail.png","Rolex",3.61,84
96,"Rolex Cellini Moonphase","The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",12999.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Cellini%20Moonphase/thumbnail.png","Rolex",4.52,33
97,"Rolex Datejust","The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",10999.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Datejust/thumbnail.png","Rolex",4.94,11
98,"Rolex Submariner Watch","The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",13999.99,"mens-watches","https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Submariner%20Watch/thumbnail.png","Rolex",2.97,35
99,"Amazon Echo Plus","The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.",99.99,"mobile-accessories","https://cdn.dummyjson.com/products/images/mobile-accessories/Amazon%20Echo%20Plus/thumbnail.png","Amazon",3.52,50
100,"Apple Airpods","The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",129.99,"mobile-accessories","https://cdn.dummyjson.com/products/images/mobile-accessories/Apple%20Airpods/thumbnail.png","Apple",4.38,93
